sim_id,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,valid_points,nonfinite_points,skipped_count,skipped_ncyc
100,600.0,14.091966957139045,92.0,300.0,0.06333333333333334,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
101,600.0,14.091966957139045,92.0,300.0,0.06333333333333334,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
102,600.0,14.091966957139045,92.0,300.0,0.06333333333333334,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
103,600.0,14.091966957139045,92.0,300.0,0.06333333333333334,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
104,600.0,14.091966957139045,92.0,300.0,0.06333333333333334,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
105,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,1.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
106,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,1.3571428571428572,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
107,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
108,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
109,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
110,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
111,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
112,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
113,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
114,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
115,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
116,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
117,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
118,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
119,600.0,14.091966957139045,92.0,300.0,0.06555555555555556,6.0,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,40,0,0,
