sim_id,case_id,field_file,B0_MHz,B0_T,J_IS,k_ex,p_B,dw_N,B1_N,tau_m,tau_e,S2,r_IS,r_eff,csa_N,theta_N_rad,theta_N_deg,I0,relative_esd,noise_enabled,seed,repeated_ncyc,valid_points,nonfinite_points,skipped_count,skipped_ncyc
47,47,Data/600MHz/sim_000047_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,1.7142857142857144,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,79;35;61,40,0,0,
48,48,Data/600MHz/sim_000048_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,2.071428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,47;29;57,40,0,0,
49,49,Data/600MHz/sim_000049_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,2.428571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,29;63;1,40,0,0,
50,50,Data/600MHz/sim_000050_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,2.7857142857142856,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,15;51;21,40,0,0,
51,51,Data/600MHz/sim_000051_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,3.142857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,21;51;39,40,0,0,
52,52,Data/600MHz/sim_000052_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,3.5,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,31;77;37,40,0,0,
53,53,Data/600MHz/sim_000053_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,3.857142857142857,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,73;3;71,40,0,0,
54,54,Data/600MHz/sim_000054_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,4.214285714285714,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,67;37;49,40,0,0,
55,55,Data/600MHz/sim_000055_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,4.571428571428571,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,59;79;61,40,0,0,
56,56,Data/600MHz/sim_000056_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,4.928571428571429,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,65;13;37,40,0,0,
57,57,Data/600MHz/sim_000057_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,5.285714285714286,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,17;69;43,40,0,0,
58,58,Data/600MHz/sim_000058_1N-HN.out,600.0,14.091966957139045,92.0,300.0,0.05666666666666667,5.642857142857143,5555.0,5e-09,5e-11,0.85,1.02e-10,1.86e-10,-0.00016,0.3839724354387525,22.0,1000000.0,0.005,True,1,59;35;53,40,0,0,
